Comment,Designator,Footprint,LCSC
XLR5_Ground,J5,NEUTRIK_NC5FAH,
LED,D15,LED_SunLED_XZ_Reverse_Mount_Cut_Pads,
LED,D14,LED_SunLED_XZ_Reverse_Mount_Cut_Pads,
LED,D13,LED_SunLED_XZ_Reverse_Mount_Cut_Pads,
LED,D12,LED_SunLED_XZ_Reverse_Mount,
LED,D11,LED_SunLED_XZ_Reverse_Mount,
LED,D10,LED_SunLED_XZ_Reverse_Mount,
~,P17,Cap_Touch_Ring_Large_Bottom,
~,P16,Cap_Touch_Ring_Large_Bottom,
~,P9,Cap_Touch_Ring_Medium,
~,P13,Cap_Touch_Ring_Large,
~,P7,Cap_Touch_Ring_Medium,
~,P5,Cap_Touch_Ring_Cutout,
MountingHole,H1,MountingHole_3.2mm_M3,
MountingHole,H2,MountingHole_3.2mm_M3,
~,P11,Cap_Touch_Ring_Medium_Bottom,
~,P14,Cap_Touch_Ring_Large,
~,P12,Cap_Touch_Ring_Medium_Bottom,
MountingHole,H3,MountingHole_3.2mm_M3,
~,P6,Cap_Touch_Ring_Cutout,
~,P1,Cap_Touch_Ring_Small,
~,P15,Cap_Touch_Ring_Large,
~,P3,Cap_Touch_Ring_Small,
~,P10,Cap_Touch_Ring_Medium_Bottom,
~,P4,Cap_Touch_Ring_Cutout,
MountingHole,H4,MountingHole_3.2mm_M3,
~,P2,Cap_Touch_Ring_Small,
~,P8,Cap_Touch_Ring_Medium,
~,P18,Cap_Touch_Ring_Large_Bottom,
0R,R16,R_0603_1608Metric,
470R 1/2W,R59,R_1206_3216Metric,
NMOS,Q8,TSOT-23,
1uF,C5,C_0603_1608Metric,
470R 1/2W,R25,R_1206_3216Metric,
SCL,TP8,TestPoint_Pad_D1.0mm,
10k,R113,R_0603_1608Metric,
470R 1/2W,R45,R_1206_3216Metric,
10uF,C10,C_1206_3216Metric,
470R 1/2W,R35,R_1206_3216Metric,
ESP32-S3-WROOM-1,U2,ESP32-S3-WROOM-1,
NMOS,Q11,TSOT-23,
470R 1/2W,R41,R_1206_3216Metric,
47k,R108,R_0603_1608Metric,
R,R4,R_0603_1608Metric,
470R 1/2W,R57,R_1206_3216Metric,
100k,R12,R_0603_1608Metric,
NMOS,Q18,TSOT-23,
0.1uF,C17,C_0603_1608Metric,
